IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
0.17,4.12,7.9,4.23,0.23,0.92,0.08,7.74,7.05,1.56,0.43,1.03,0.16,0.96,4.06,8.4,5.33,0.94,0.23,0.17,1.58,0.1,3.68,0.0,0.43,0.01,1.41,1.55,0.84,0.63,0.78,0.0,0.34,0.02,0.11,1.59,0.01,1.29
0.03,5.78,9.27,5.04,0.49,0.51,0.09,9.18,8.31,0.51,1.1,0.51,0.04,1.13,5.72,9.76,5.28,1.49,0.81,0.21,0.05,0.51,4.01,0.03,1.1,0.03,0.39,0.25,0.2,0.81,0.51,0.03,1.07,0.18,0.51,3.41,0.04,0.39
6.12,2.15,2.08,0.04,0.08,0.49,2.28,1.45,0.43,0.05,7.82,0.07,7.05,8.35,2.29,1.86,0.03,8.33,0.25,6.63,6.5,3.59,0.29,0.08,6.23,4.22,7.23,7.29,6.05,0.0,5.68,3.51,0.5,0.12,3.61,4.27,3.02,6.73
1.91,1.96,6.01,3.68,0.14,0.7,0.9,5.65,5.19,0.7,3.0,0.0,2.86,3.59,1.92,6.33,3.66,3.06,0.13,3.18,4.53,2.54,1.69,0.0,3.0,0.95,4.42,4.55,3.85,0.7,3.58,2.49,0.38,2.48,2.61,0.0,0.93,4.3
3.46,0.46,3.81,1.73,0.03,0.32,1.23,3.58,3.04,1.74,4.52,0.34,3.97,5.08,0.4,4.25,1.71,4.81,0.04,4.24,5.03,2.41,0.2,0.01,4.52,1.64,5.34,5.33,4.37,0.03,3.87,2.3,0.15,2.12,2.31,0.53,0.56,5.13
0.5,3.16,7.08,3.88,0.6,0.74,0.11,6.89,6.28,2.3,1.22,0.01,0.88,1.79,3.11,7.55,4.98,1.54,0.59,1.2,2.56,0.6,2.84,0.0,1.22,0.04,2.44,2.57,1.87,0.0,1.67,0.56,0.57,0.54,0.66,0.67,0.0,2.33
6.02,2.72,2.68,0.08,0.0,0.36,2.93,1.87,0.76,0.12,7.77,0.0,6.99,8.3,2.95,2.47,0.08,8.29,0.01,6.33,6.2,3.21,0.0,0.0,5.84,4.21,6.95,7.0,5.8,0.0,5.44,3.13,0.51,0.42,3.22,4.72,2.64,6.42
2.7,2.97,4.69,0.2,0.08,0.7,0.52,4.59,3.57,2.63,4.46,0.07,3.67,4.98,2.91,4.92,1.36,4.98,0.09,3.39,3.26,0.53,0.03,0.0,3.28,1.0,3.93,4.0,2.71,0.02,2.32,0.4,1.58,1.04,0.52,2.74,0.26,3.5
0.14,5.52,9.41,5.76,1.68,0.02,0.02,9.24,8.58,0.02,0.02,0.02,1.39,0.04,5.47,9.9,6.6,0.12,1.67,0.94,1.2,0.65,5.17,0.0,0.01,0.59,1.13,0.96,0.69,2.11,0.79,0.56,1.19,1.02,0.66,2.15,0.83,1.16
4.87,4.32,4.26,0.54,0.02,0.01,1.96,3.52,2.2,1.22,6.68,0.46,5.88,7.16,4.43,4.04,0.54,7.18,0.25,4.82,4.69,1.68,0.2,0.04,4.25,3.32,5.45,5.5,4.35,0.01,4.01,1.59,0.13,1.75,1.69,4.88,1.13,4.91
5.7,2.21,2.36,0.02,0.33,0.48,2.88,1.72,1.25,0.48,6.65,0.23,6.16,7.22,2.11,2.41,0.05,6.86,0.32,6.48,7.21,4.41,0.58,0.01,6.65,3.81,7.58,7.57,6.55,0.02,6.09,4.34,0.51,0.81,4.41,0.75,1.66,7.37
