IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
3.7,1.7,3.21,1.28,0.13,0.12,1.61,3.14,2.31,1.83,5.14,0.26,4.46,5.68,1.62,3.76,1.41,5.56,0.15,4.54,4.86,1.96,1.08,0.0,5.05,1.61,5.44,5.53,4.24,0.02,3.82,1.9,0.76,1.26,1.95,1.7,1.5,5.1
2.17,2.85,5.06,0.73,0.15,0.32,0.01,4.99,4.0,2.66,3.93,0.15,3.14,4.45,2.79,5.38,1.86,4.44,0.29,3.0,2.89,0.0,0.43,0.0,3.05,0.54,3.51,3.6,2.3,0.0,1.9,0.0,1.37,1.03,0.01,2.41,0.01,3.13
2.24,1.65,4.69,1.63,0.05,0.21,0.22,4.58,3.8,2.92,3.66,0.26,2.97,4.2,1.6,5.22,2.65,4.12,0.34,3.07,3.65,1.07,0.75,0.0,3.66,0.34,4.12,4.11,2.99,0.01,2.52,0.92,1.47,1.39,1.02,1.23,0.08,3.85
2.27,1.32,5.37,3.16,0.37,0.19,0.21,5.1,4.6,1.52,3.1,0.02,2.67,3.67,1.27,5.78,3.14,3.31,0.36,3.02,4.22,2.05,1.16,0.04,3.1,0.38,4.19,4.26,3.58,0.02,3.14,1.77,0.17,2.15,1.81,0.02,0.19,4.08
5.38,2.16,1.83,0.12,0.17,0.01,2.18,1.65,0.64,0.04,6.94,0.15,6.23,7.48,2.11,2.06,0.2,7.39,0.16,6.24,6.21,3.36,0.05,0.01,6.14,3.33,6.87,6.95,5.65,0.02,5.25,3.26,0.05,0.01,3.34,2.81,2.93,6.44
6.69,2.66,2.61,0.19,0.01,0.65,3.01,1.68,0.12,0.23,8.45,0.19,7.66,8.97,3.07,2.48,0.17,8.96,0.0,6.88,6.75,3.74,0.05,0.05,6.33,4.9,7.51,7.56,6.38,0.01,6.03,3.65,0.07,0.0,3.75,5.35,3.17,6.97
7.67,0.9,0.63,1.43,2.31,0.0,2.42,0.06,0.01,0.0,8.62,0.0,8.15,9.19,0.9,0.6,1.41,8.8,2.3,8.45,9.1,6.24,0.41,0.0,8.62,5.75,9.56,9.55,8.46,0.0,8.02,6.17,0.51,0.0,6.23,2.48,3.64,9.33
2.33,1.28,5.3,3.12,0.48,0.07,0.13,5.05,4.54,1.63,3.12,0.01,2.66,3.68,1.23,5.72,3.1,3.35,0.47,3.01,4.19,1.97,1.15,0.0,3.12,0.35,4.16,4.23,3.56,0.01,3.07,1.68,0.29,2.06,1.71,0.0,0.07,4.05
4.31,5.37,5.78,1.14,0.01,0.37,0.44,5.04,3.59,0.37,6.08,0.13,5.25,6.4,5.31,5.55,0.84,6.55,0.22,3.66,3.54,0.41,0.48,0.0,2.93,3.25,4.31,4.34,3.3,0.01,2.73,0.38,0.86,0.66,0.74,5.13,0.57,3.75
8.37,0.19,0.0,0.22,2.79,1.38,0.94,1.17,0.06,1.17,9.74,1.38,9.12,10.3,0.17,0.01,0.59,10.08,2.87,9.22,9.34,6.46,0.03,0.0,9.28,6.29,9.99,10.07,8.77,1.38,8.37,6.37,1.35,1.18,6.44,4.33,4.98,9.58
